id_compte,numero_compte,rib,iban,type_compte,devise,date_ouverture,statut,solde_actuel,id_entreprise,id_agence,id_conseiller,id_compte_courant_parent,date_dernier_mouvement,classification
1,8707228672184453,0114788707228672184453,MA640114788707228672184453,COURANT,MAD,2021-03-13,INACTIF,2351007.4,1,1,10,,2022-07-21,Inactif
2,2363717233271861,0118532363717233271861,MA640118532363717233271861,DAT,MAD,2022-02-06,ACTIF,835384.37,1,1,10,1.0,2022-02-06,Actif
3,4962000222170582,0112974962000222170582,MA640112974962000222170582,COURANT,MAD,2015-10-26,ACTIF,726810.76,2,1,11,,2016-10-16,Inactif
4,3627677117244245,0114713627677117244245,MA640114713627677117244245,COURANT,MAD,2017-12-05,ACTIF,79468.38,3,1,10,,2018-08-19,Inactif
5,5124669649840192,0119275124669649840192,MA640119275124669649840192,DAT,MAD,2018-02-03,ACTIF,22869.33,3,1,10,4.0,2018-02-03,Actif
6,2339603916368984,0117872339603916368984,MA640117872339603916368984,COURANT,MAD,2019-08-24,ACTIF,10080.06,4,1,11,,2023-02-06,Inactif
7,5199163852918356,0118865199163852918356,MA640118865199163852918356,COURANT,MAD,2011-03-22,INACTIF,14542513.63,5,1,10,,2021-06-17,Inactif
8,5074525826063090,0114335074525826063090,MA640114335074525826063090,COURANT,MAD,2012-03-30,ACTIF,4378373.22,6,1,11,,2024-10-07,Actif
9,9239285490255641,0115169239285490255641,MA640115169239285490255641,COURANT,MAD,2019-11-21,ACTIF,1919244.42,7,1,10,,2021-05-20,Inactif
10,2382157913074636,0119222382157913074636,MA640119222382157913074636,COURANT,MAD,2012-12-02,INACTIF,2371135.77,8,1,11,,2022-04-29,Inactif
11,6107459492659260,0117566107459492659260,MA640117566107459492659260,DAT,MAD,2013-07-15,ACTIF,867039.43,8,1,11,10.0,2013-07-15,Actif
12,8065708395422636,0119708065708395422636,MA640119708065708395422636,COURANT,MAD,2007-03-31,ACTIF,1254216.53,9,1,10,,2010-03-19,Inactif
13,8187993228977763,0115148187993228977763,MA640115148187993228977763,DAT,MAD,2007-07-02,ACTIF,255107.79,9,1,10,12.0,2007-07-02,Actif
14,2123653094935617,0112552123653094935617,MA640112552123653094935617,COURANT,MAD,2017-10-27,ACTIF,4232292.1,10,1,11,,2023-06-02,Inactif
15,8630019461198497,0117338630019461198497,MA640117338630019461198497,COURANT,MAD,2012-09-03,ACTIF,89397.11,11,1,10,,2015-12-13,Inactif
16,2158974010521062,0118252158974010521062,MA640118252158974010521062,COURANT,MAD,2017-11-17,ACTIF,139140.08,12,1,11,,2018-01-01,Inactif
